EcActivity,

ERR771019_MERGED_FASTQ_InterPro.txt.tsv,ERR771060_MERGED_FASTQ_InterPro.tsv,ERR771064_MERGED_FASTQ_InterPro.tsv,ERR771070_MERGED_FASTQ_InterPro.tsv,
5.3.1.12 *,22.0,4.0,9.0,26.0,
5.3.1.14 *,0.0,0.0,0.0,1.0,
5.3.1.17 *,19.0,4.0,16.0,24.0,
5.3.1.23 *,83.0,23.0,93.0,164.0,
5.3.1.24 *,0.0,23.0,49.0,66.0,
5.3.1.25 *,28.0,0.0,6.0,26.0,
5.3.1.26 *,42.0,11.0,170.0,141.0,
5.3.1.4 *,3.0,0.0,26.0,8.0,
5.3.1.5,0.0,7.0,79.0,62.0,
5.3.1.6,41.0,4.0,44.0,60.0,
5.3.1.8,30.0,3.0,98.0,46.0,
5.3.1.9,43.0,52.0,293.0,299.0,
5.3.3.1 *,2.0,3.0,2.0,1.0,
5.3.3.10,0.0,8.0,2.0,3.0,
5.3.3.2 *,0.0,0.0,5.0,0.0,
5.3.3.4 *,0.0,3.0,1.0,0.0,
5.4.2.10 *,830.0,286.0,1508.0,1393.0,
5.4.2.7,18.0,0.0,5.0,9.0,
5.4.2.8,0.0,1.0,30.0,30.0,
5.4.99.1 *,7.0,0.0,0.0,0.0,
5.4.99.2,1.0,35.0,246.0,257.0,
5.4.99.5 *,113.0,26.0,76.0,91.0,
5.5.1.4,0.0,0.0,82.0,57.0,
5.5.1.6 *,4.0,0.0,3.0,2.0,
6.1.1.1 *,0.0,0.0,101.0,123.0,
6.1.1.10,26.0,10.0,92.0,94.0,
6.1.1.11 *,115.0,30.0,281.0,280.0,
6.1.1.14 *,327.0,64.0,492.0,470.0,
6.1.1.15 *,61.0,64.0,306.0,336.0,
6.1.1.16 *,64.0,69.0,371.0,348.0,
6.1.1.17,226.0,34.0,164.0,198.0,
6.1.1.19 *,251.0,70.0,268.0,402.0,
6.1.1.2,0.0,2.0,56.0,48.0,
6.1.1.20 *,493.0,86.0,594.0,686.0,
6.1.1.26 *,1.0,0.0,0.0,0.0,
6.1.1.3 *,2.0,53.0,237.0,288.0,
6.1.1.4,0.0,65.0,266.0,327.0,
6.1.1.5,0.0,0.0,22.0,46.0,
6.1.1.6 *,31.0,3.0,216.0,199.0,
6.1.1.7 *,329.0,59.0,512.0,630.0,
6.1.1.9,73.0,30.0,75.0,139.0,
6.2.1.5,355.0,74.0,583.0,663.0,
6.3.1.1,0.0,0.0,1.0,7.0,
6.3.1.2,612.0,111.0,589.0,709.0,
6.3.1.5,0.0,0.0,27.0,36.0,
6.3.2.1,0.0,19.0,118.0,137.0,
6.3.2.17 *,0.0,0.0,0.0,2.0,
6.3.2.2 *,0.0,25.0,57.0,122.0,
6.3.2.3 *,119.0,18.0,86.0,169.0,
6.3.2.34 *,0.0,12.0,56.0,84.0,
6.3.2.4,195.0,62.0,264.0,232.0,
6.3.2.5 *,199.0,26.0,232.0,212.0,
6.3.2.6 *,0.0,27.0,194.0,256.0,
6.3.3.3 *,0.0,0.0,2.0,0.0,
6.3.4.13 *,311.0,45.0,374.0,482.0,
6.3.4.15 *,15.0,9.0,17.0,8.0,
6.3.4.2 *,0.0,23.0,204.0,227.0,
6.3.4.3,0.0,7.0,160.0,266.0,
6.3.4.4,0.0,32.0,420.0,513.0,
6.3.4.5,36.0,61.0,445.0,453.0,
6.3.5.2,53.0,8.0,81.0,73.0,
6.3.5.3 *,28.0,6.0,139.0,97.0,
6.3.5.5,450.0,63.0,548.0,611.0,
6.3.5.7 *,894.0,200.0,1130.0,1517.0,
6.4.1.2,134.0,111.0,731.0,906.0,
6.6.1.1 *,15.0,0.0,18.0,25.0,
6.6.1.2 *,125.0,12.0,73.0,128.0,
1.10.9.1 #,1.0,0.0,1.0,4.0,
1.11.1.21 #,12.0,4.0,66.0,76.0,
1.11.2.3 #,0.0,0.0,0.0,1.0,
1.14.12.22 #,0.0,0.0,0.0,1.0,
1.14.13.132 #,0.0,0.0,4.0,5.0,
1.17.1.8 #,0.0,9.0,223.0,172.0,
1.2.1.50 #,0.0,0.0,4.0,5.0,
1.2.1.88 #,87.0,12.0,50.0,112.0,
1.3.1.98 #,99.0,59.0,335.0,344.0,
1.3.5.3 #,0.0,5.0,0.0,3.0,
1.3.7.7 #,13.0,0.0,10.0,6.0,
1.4.1.24 #,0.0,0.0,2.0,4.0,
1.4.9.1 #,14.0,1.0,0.0,12.0,
1.5.5.2 #,0.0,18.0,70.0,86.0,
1.6.5.2 #,0.0,0.0,0.0,2.0,
1.7.1.13 #,2.0,12.0,49.0,55.0,
1.8.2.3 #,8.0,0.0,24.0,20.0,
1.8.5.2 #,3.0,0.0,2.0,0.0,
2.1.1.100 #,4.0,4.0,3.0,11.0,
2.1.1.195 #,11.0,0.0,1.0,11.0,
2.1.1.196 #,0.0,2.0,0.0,0.0,
2.1.1.248 #,0.0,0.0,0.0,3.0,
2.1.1.249 #,0.0,0.0,0.0,2.0,
2.1.1.250 #,0.0,14.0,115.0,207.0,
2.3.1.199 #,3.0,0.0,14.0,13.0,
2.3.1.222 #,6.0,0.0,3.0,5.0,
2.4.1.256 #,0.0,0.0,0.0,1.0,
2.4.99.12 #,0.0,6.0,38.0,64.0,
2.4.99.16 #,6.0,0.0,13.0,1.0,
2.4.99.18 #,0.0,0.0,4.0,1.0,
2.7.1.168 #,0.0,6.0,10.0,14.0,
2.7.8.37 #,3.0,1.0,1.0,1.0,
2.8.1.1 #,0.0,7.0,31.0,33.0,
2.8.1.10 #,21.0,16.0,65.0,133.0,
2.8.1.12 #,23.0,30.0,89.0,121.0,
3.5.3.26 #,25.0,9.0,10.0,11.0,
