!ENTRY_AC	AC
IPR005002	00051+5.4.2.8
IPR000023	00052+2.7.1.11
IPR012004	00052+2.7.1.11
IPR004654	00052+2.7.1.2
IPR000705	00052+2.7.1.6
IPR011618	00052+2.7.1.69
IPR004801	00052+2.7.1.69
IPR001937	00052+2.7.7.12
IPR000766	00052+2.7.7.12
IPR013738	00052+3.2.1.23
IPR021792	00052+3.2.1.26
IPR004379	00052+5.4.99.9
IPR017760	00053+1.10.3.3
IPR007828	00053+1.13.99.1
IPR013011	00053+2.7.1.69
IPR004720	00053+2.7.1.69
IPR010975	00053+2.7.1.69
IPR004801	00053+2.7.1.69
IPR018455	00053+2.7.1.69
IPR011284	00061+1.1.1.100
IPR016452	00061+2.3.1.39+4.2.1.59+1.3.1.9+3.1.2.14
IPR004410	00061+2.3.1.39
IPR010083	00061+4.2.1.59+5.3.3.14
IPR013114	00061+4.2.1.59
IPR030305	00061+6.2.1.3
IPR012799	00062+4.2.1.17+1.1.1.35
IPR012806	00062+2.3.1.16
IPR030457	00062+2.3.1.199
IPR012392	00062+2.3.1.199
IPR014187	00071+1.1.1.1
IPR012799	00071+5.1.2.3+4.2.1.17+1.1.1.35+5.3.3.8
IPR006176	00071+4.2.1.17+1.1.1.35
IPR008066	00071+1.14.14.1
IPR012805	00071+2.3.1.16
IPR014388	00072+2.8.3.5
IPR004255	00073+2.3.1.20
IPR014292	00073+2.3.1.20
IPR020532	00100+5.5.1.9
IPR006180	00120+1.1.1.35
IPR030681	00120+1.14.13.17
IPR023948	00130+1.6.5.2
IPR004033	00130+2.1.1.163
IPR004433	00130+2.2.1.9
IPR019996	00130+5.4.4.2
IPR010192	00130+6.2.1.26
IPR008071	00140+1.14.14.1
IPR024549	00190+1.6.99.3+1.6.5.3
IPR003917	00190+1.6.5.3
IPR008068	00590+1.14.14.1
IPR029576	00590+1.14.99.1
IPR028635	00592+1.1.1.1
IPR028633	00592+1.1.1.1
IPR014183	00592+1.1.1.1
IPR028674	00600+3.1.3.4
IPR028685	00600+3.1.3.4
IPR008377	00600+3.2.1.18
IPR023232	00600+3.2.1.23
IPR002241	00603+3.2.1.22
IPR015883	00604+3.2.1.52
IPR010097	00620+1.1.1.37
IPR001891	00620+1.1.1.38
IPR011273	00620+1.1.1.82
IPR012079	00620+1.2.1.10
IPR019830	00620+2.3.3.9
IPR015806	00620+2.7.1.40
IPR015794	00620+2.7.1.40
IPR015793	00620+2.7.1.40
IPR005661	00620+4.1.1.3
IPR011904	00620+6.2.1.1
IPR000022	00620+6.4.1.2
IPR003361	00621+1.2.1.10
IPR017629	00622+4.1.3.39
IPR013161	00623+4.1.99.11
IPR012805	00642+2.3.1.16
IPR015377	00643+3.7.1.2
IPR028632	00625+1.1.1.1
IPR014281	00625+1.18.6.1
IPR005974	00625+1.18.6.1
IPR005972	00625+1.18.6.1
IPR012079	00626+1.1.1.1
IPR018296	00627+3.1.3.2
IPR014390	00627+3.1.3.2
IPR006176	00627+4.2.1.17
IPR024690	00627+4.2.1.84
IPR011275	00630+1.1.1.37
IPR013460	00630+1.1.1.77
IPR024711	00630+1.11.1.6
IPR024712	00630+1.11.1.6
IPR019798	00630+2.1.2.1
IPR001465	00630+2.3.3.9
IPR017484	00630+3.5.1.9
IPR024680	00630+4.1.1.39
IPR017660	00630+4.1.1.8
IPR006254	00630+4.1.3.1
IPR006249	00630+4.2.1.3
IPR017515	00630+5.1.99.1
IPR001637	00630+6.3.1.2
IPR004460	00633+1.2.99.2
IPR012780	00633+1.2.99.2
IPR023510	00640+1.2.1.18+1.2.1.27
IPR012147	00640+2.3.1.8
IPR006176	00640+4.2.1.17
IPR000623	00400+2.7.1.71
IPR016302	00400+4.1.1.48+5.3.1.24+4.1.3.27
IPR005257	00400+4.1.3.27
IPR010112	00400+4.1.3.27
IPR018509	00400+4.2.1.10
IPR006316	00400+4.2.1.20
IPR011715	00401+2.6.1.5
IPR015800	00410+1.4.3.21
IPR015576	00410+2.5.1.22
IPR012799	00410+4.2.1.17
IPR024894	00410+6.3.2.1
IPR012742	00430+1.4.1.1
IPR010766	00430+2.3.1.8
IPR012703	00440+2.6.1.37
IPR006323	00440+3.11.1.1
IPR006338	00450+1.8.1.9
IPR006276	00450+2.1.1.14
IPR017736	00460+3.2.1.21
IPR022843	00460+3.5.1.49
IPR001920	00471+5.1.1.3
IPR005758	00471+6.3.2.8
IPR005784	00472+2.6.1.21
IPR011079	00473+5.1.1.1
IPR003230	00473+6.1.1.13
IPR010072	00473+6.1.1.13
IPR004439	00480+1.1.1.42
IPR006184	00480+1.1.1.44
IPR026459	00480+1.17.4.1
IPR013344	00480+1.17.4.1
IPR000101	00480+2.3.2.2+3.4.19.13
IPR030374	00480+2.5.1.16
IPR004215	00480+6.3.2.3
IPR004887	00480+6.3.2.3
IPR028356	00500+1.1.1.22
IPR026953	00500+2.4.1.34
IPR010975	00500+2.7.1.69
IPR013013	00500+2.7.1.69
IPR028546	00500+3.2.1.31
IPR024745	00500+3.2.1.4
IPR012769	00500+3.2.1.93
IPR010551	00500+5.3.1.9
IPR005852	00500+5.4.2.2
IPR010972	00500+5.4.2.6
IPR026945	00511+3.2.1.18
IPR023232	00511+3.2.1.23
IPR003476	00511+3.2.1.23
IPR018526	00511+3.2.1.51
IPR004866	00511+3.2.1.52
IPR022956	00511+3.2.1.52
IPR005201	00511+3.2.1.96
IPR027054	00513+2.4.1.257+2.4.1.132
IPR015882	00513+3.2.1.52
IPR021168	00520+2.1.2.13+1.1.1.305
IPR003170	00520+1.3.1.98
IPR001996	00520+2.7.1.69
IPR011618	00520+2.7.1.69
IPR004702	00520+2.7.1.69
IPR004801	00520+2.7.1.69
IPR018455	00520+2.7.1.69
IPR000766	00520+2.7.7.12
IPR005850	00520+2.7.7.12
IPR009939	00520+3.2.1.132
IPR001579	00520+3.2.1.14
IPR004547	00520+3.5.99.6
IPR006148	00520+3.5.99.6
IPR020025	00520+4.2.1.115
IPR001250	00520+5.3.1.8
IPR016758	00520+5.3.1.9
IPR001672	00520+5.3.1.9
IPR024086	00520+5.4.2.10
IPR029900	00521+1.1.1.133
IPR003836	00524+2.7.1.2
IPR025300	00531+3.2.1.23
IPR006101	00531+3.2.1.23
IPR004199	00531+3.2.1.23
IPR023933	00531+3.2.1.23
IPR024448	00532+2.4.2.26
IPR027674	00534+2.4.1.223
IPR027675	00534+2.4.1.224
IPR009246	00564+4.3.1.7
IPR025650	00565+2.5.1.26
IPR028794	00565+3.1.3.4
IPR028675	00565+3.1.3.4
IPR008475	00565+3.1.4.3
IPR011402	00565+3.1.4.4
IPR010137	00540+2.3.1.129
IPR003758	00540+2.7.1.130
IPR023030	00540+2.7.7.70+2.7.1.167
IPR011914	00540+2.7.7.70+2.7.1.167
IPR004702	00051+2.7.1.69
IPR011300	00051+2.7.1.69
IPR011403	00051+2.7.1.90
IPR000146	00051+3.1.3.11
IPR023014	00051+4.1.2.13
IPR023593	00051+4.1.2.53
IPR022896	00051+5.3.1.1
IPR012888	00051+5.3.1.25
IPR030515	00052+2.4.1.123
IPR003836	00052+2.7.1.2
IPR011296	00052+2.7.1.69
IPR010975	00052+2.7.1.69
IPR003352	00052+2.7.1.69
IPR004718	00052+2.7.1.69
IPR019779	00052+2.7.7.12
IPR005850	00052+2.7.7.12
IPR006215	00052+3.2.1.22
IPR000111	00052+3.2.1.22
IPR025300	00052+3.2.1.23
IPR011296	00053+2.7.1.69
