! Conversion taken from: http://www.geneontology.org/
PF01210;1.1.1
PF01212;4
PF01215;1.9.3.1
PF01218;R03220
PF01218;1.3.3.3
PF01219;2.7.1.107
PF01220;R03084
PF01220;4.2.1.10
PF01223;3
PF01229;3.2.1
PF01232;1
PF01233;2.3.1.97
PF01234;2.1.1
PF01238;5.3.1.8
PF01242;R04286
PF01242;4.2.3.12
PF01244;3.4.13
PF01252;3.4.23
PF01255;2.5
PF01255;2.5.1
PF01257;1
PF01259;R04591
PF01259;6.3.2.6
PF01262;1
PF01263;5
PF01264;R01714
PF01264;4.2.3.5
PF01265;4.4.1.17
PF01266;1
PF01268;6.3.4.3
PF01269;2.1.1
PF01270;3.2.1
PF01274;R00472
PF01274;2.3.3.9
PF01288;R03503
PF01288;2.7.6.3
PF01293;R00341
PF01293;4.1.1.49
PF01295;4.6.1.1
PF01301;3.2.1
PF01314;1.2.7
PF01315;1
PF01321;3
PF01328;R03532
PF01328;1.11.1.7
PF01329;R04734
PF01329;4.2.1.96
PF01331;2.7.7.50
PF01339;3.1.1.61
PF01341;3.2.1
PF01343;3.4
PF01349;2.7.7.48
PF01349;3.4.21
PF01349;2.1.1.56
PF01349;2.1.1.57
PF01349;3.6
PF01349;3.6.1.15
PF01349;3.4.21
PF01351;3.1.26.4
PF01358;2.1.1.57
PF01361;5
PF01368;3
PF01373;3.2.1.2
PF01374;3.2.1.132
PF01397;4
PF01400;3.4.24
PF01401;3.4.15
PF01406;6.1.1.16
PF01408;1
PF01411;6.1.1.7
PF01416;5.4.99.12
PF01421;3.4.24
PF01425;6.3.5
PF01427;3.4.13
PF01431;3.4.24
PF01432;3.4.24
PF01434;3.4.24
PF01435;3.4.24
PF01450;1.1.1.86
PF01457;3.4.24
PF01467;2.7.7
PF01474;R01826
PF01474;2.5.1.54
PF01478;3.4.23
PF01483;3.4.21
PF01487;R03084
PF01487;4.2.1.10
PF01488;1.1.1.25
PF01493;1
PF01501;2.4
PF01502;R04037
PF01502;3.5.4.19
PF01506;2.7.7.48
PF01506;3.4.22
PF01506;3.4.21
PF01506;3.6.1.15
PF01510;3.5.1.28
PF01512;1.6
PF01513;R00104
PF01513;2.7.1.23
PF01518;2.7.7.48
PF01520;3.5.1.28
PF01522;3.5
PF01525;3.6.1.3
PF01531;2.4.1.69
PF01532;3.2.1.113
PF01536;R00178
PF01536;4.1.1.50
PF01538;2.7.7.48
PF01538;3.4.22
PF01538;3.4.21
PF01538;3.6
PF01538;3.6.1.15
PF01538;3.4.21
PF01546;3
PF01552;2.7.7.48
PF01552;3.4
PF01552;2
PF01552;2.7.7
PF01552;3
PF01558;1.2
PF01562;3.4.24
PF01563;3.4.21
PF01565;1
PF01568;1
PF01571;2.1.2.10
PF01575;1
PF01577;3.4.22
PF01583;2.7
PF01589;3.4.21
PF01591;R02732
PF01591;2.7.1.105
PF01613;1.5.1.30
PF01619;1.5.99.8
PF01625;1.8.4
PF01630;3.2.1.35
PF01633;2.7.1
PF01634;2.4.2.17
PF01641;1.8.4.11
PF01642;5.4
PF01643;3.1.2
PF01644;2.4.1.16
PF01648;2.7.8.7
